,title,year,budget_2013$,intgross_2013$
523,The Boondock Saints II: All Saints Day,2009,8685853,11153924.0
524,The Box,2009,27143290,28600229.0
525,The City of Your Final Destination,2009,9011572,1469316.0
526,The Final Destination,2009,43429264,203449410.0
527,The Fourth Kind,2009,10857316,53729463.0
528,The Girl with the Dragon Tattoo,2009,97715844,253160295.0
529,The Girlfriend Experience,2009,1411451,1092072.0
530,The Good Guy,2009,10857316,109320.0
531,The Hangover,2009,38000606,509809040.0
532,The Imaginarium of Doctor Parnassus,2009,32571948,69869659.0
533,The Informant!,2009,23886095,45352277.0
534,The Invention of Lying,2009,20086035,35480909.0
535,The Last Station,2009,19543169,17041802.0
536,The Lovely Bones,2009,103144502,103029901.0
537,The Men Who Stare at Goats,2009,26057558,73122088.0
538,The Messenger,2009,7057255,1530512.0
539,The Princess and the Frog,2009,114001818,294230416.0
540,The Proposal,2009,43429264,341690283.0
541,The Road,2009,27143290,29981685.0
542,The Secret of Kells,2009,8685853,2823897.0
543,The Soloist,2009,65143896,41750888.0
544,The Taking of Pelham 123,2009,119430476,165426811.0
545,The Time Traveler&#39;s Wife,2009,42343532,107125483.0
546,The Ugly Truth,2009,41257801,222824741.0
547,The Unborn,2009,17371706,84913778.0
548,The Young Victoria,2009,38000606,34611919.0
549,Transformers: Revenge of the Fallen,2009,228003635,908235868.0
550,Up,2009,190003029,794258938.0
551,Up in the Air,2009,32571948,181146433.0
553,Watchmen,2009,149830960,199848831.0
554,Whatever Works,2009,16285974,38116460.0
555,Where the Wild Things Are,2009,108573160,107621685.0
556,Whip It,2009,16285974,20472719.0
557,Whiteout,2009,38000606,13305365.0
558,X-Men Origins: Wolverine,2009,162859739,406960171.0
560,Youth in Revolt,2009,19543169,21373265.0
561,Zombieland,2009,25623266,111001503.0
562,21,2008,37878971,170836899.0
563,Appaloosa,2008,21645126,30016892.0
564,Australia,2008,140693320,232772564.0
565,Baby Mama,2008,32467689,69688090.0
566,Be Kind Rewind,2008,21645126,33435494.0
567,Bedtime Stories,2008,86580505,236319281.0
568,Blindness,2008,27056408,21702440.0
569,Bolt,2008,162338447,339778437.0
570,Burn After Reading,2008,40043484,176857711.0
571,Changeling,2008,59524097,123166807.0
572,Che: Part One,2008,62770866,32595998.0
573,City of Ember,2008,41125740,12789087.0
574,Cloverfield,2008,27056408,184810452.0
576,Death Race,2008,70346660,78481785.0
577,Defiance,2008,54112816,45745616.0
578,"Definitely, Maybe",2008,7575794,60458935.0
579,Doomsday,2008,35714458,23399667.0
580,Doubt,2008,21645126,55137666.0
581,Eagle Eye,2008,86580505,192713668.0
582,Easy Virtue,2008,15151588,13697884.0
583,Fireproof,2008,541128,36226687.0
584,Fly Me to the Moon,2008,27056408,62280329.0
585,Forgetting Sarah Marshall,2008,32467689,113824188.0
586,Four Christmases,2008,86580505,176998734.0
587,Frost/Nixon,2008,31385433,30459656.0
588,Frozen River,2008,1082256,6526145.0
589,Gake no ue no Ponyo,2008,36796715,222200929.0
590,Ghost Town,2008,21645126,28801384.0
591,Gran Torino,2008,27056408,297125986.0
592,Hamlet 2,2008,9740307,5301200.0
593,Hancock,2008,162338447,675702695.0
594,Herb &amp; Dorothy,2008,89286146,173580993.0
595,High School Musical 3: Senior Year,2008,11904819,296963426.0
596,Igor,2008,32467689,33564393.0
597,In Bruges,2008,16233845,37374405.0
